Country/Region,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Country/Region (group)
Montenegro,0.3,0.5,0.0,0.5,6.0,4.2,14.2,18.1,40.5,15.6,Europe
Morocco,0.2,0.9,0.8,1.2,2.9,9.5,15.2,23.8,34.2,11.1,Eastern Mediterranean
Mozambique,0.0,0.4,1.0,3.7,5.7,12.1,28.3,24.4,16.7,7.7,Africa
Namibia,0.1,0.0,0.0,1.1,11.5,32.4,22.2,10.0,8.6,14.0,Africa
Nepal,0.0,0.0,0.6,4.8,2.5,7.9,15.4,37.3,25.2,6.3,South-East Asia
Netherlands,2.0,4.2,1.1,0.6,0.6,2.9,8.3,36.6,27.6,15.8,Europe
New Zealand,30.8,39.7,1.2,1.1,1.6,9.1,4.6,5.3,4.8,1.8,Western Pacific
Nicaragua,0.1,0.2,12.7,29.9,19.6,14.0,11.5,5.8,4.6,1.7,Americas
Niger,1.1,29.8,10.3,5.0,2.5,1.8,0.9,1.0,14.1,33.3,Africa
Nigeria,0.2,2.4,11.2,21.2,23.8,14.8,6.6,5.5,6.4,7.9,Africa
North Macedonia,0.4,1.5,1.0,5.6,6.0,4.9,4.9,18.4,41.0,16.2,Europe
Norway,11.2,7.5,1.7,1.1,0.9,3.7,7.9,15.3,38.3,12.5,Europe
Oman,0.1,1.7,7.2,22.6,30.9,5.2,10.2,12.5,7.3,2.2,Eastern Mediterranean
Pakistan,0.4,3.4,11.9,32.5,14.6,4.0,3.8,4.8,15.0,9.6,Eastern Mediterranean
Panama,0.6,2.7,3.6,10.3,16.3,14.2,10.1,10.8,16.5,14.8,Americas
Papua New Guinea,0.0,1.0,0.0,0.4,8.4,53.4,10.3,7.6,9.2,9.5,Western Pacific
Paraguay,0.1,0.2,0.8,1.3,3.3,13.1,24.5,23.8,20.4,12.5,Americas
Peru,0.1,3.6,12.9,12.3,12.4,24.3,16.7,9.0,6.3,2.3,Americas
Philippines,0.5,1.4,2.1,4.3,12.4,28.3,20.2,15.3,11.3,4.2,Western Pacific
Poland,0.2,0.9,1.0,0.9,1.0,1.9,2.1,23.8,55.1,13.1,Europe
Portugal,2.1,5.0,2.1,2.7,2.5,2.0,5.0,18.7,44.7,15.1,Europe
Qatar,0.6,8.9,30.8,27.8,10.4,5.7,4.9,4.8,4.4,1.6,Eastern Mediterranean
Romania,0.4,1.8,1.3,1.4,4.3,6.6,7.2,20.3,41.8,15.1,Europe
Russia,0.1,3.9,11.3,9.1,7.2,5.8,6.7,16.4,25.2,14.3,Europe
Rwanda,1.1,2.5,1.9,9.7,14.8,30.3,11.5,4.4,11.8,12.0,Africa
Saint Kitts and Nevis,21.4,25.0,0.0,0.0,7.1,0.0,7.1,0.0,10.7,21.4,Americas
Saint Lucia,4.3,1.4,0.4,0.4,2.2,0.4,0.4,18.3,65.1,6.8,Americas
Saint Vincent and the Grenadines,0.0,15.3,10.2,3.1,25.5,6.1,4.1,10.2,11.2,13.3,Americas
San Marino,12.2,17.2,5.3,1.4,0.1,0.8,0.9,10.1,35.4,16.6,Europe
Sao Tome and Principe,0.0,1.0,46.4,22.9,15.5,2.5,1.5,3.4,4.6,1.9,Africa
Saudi Arabia,0.4,5.9,17.4,29.3,23.6,11.1,5.2,3.5,2.8,0.7,Eastern Mediterranean
Senegal,1.0,4.4,15.8,18.4,20.1,19.7,8.0,3.7,2.8,6.2,Africa
Serbia,0.3,3.0,0.9,1.2,4.0,2.2,0.8,4.9,47.3,35.3,Europe
Seychelles,4.3,0.5,0.0,37.4,17.6,11.8,4.3,4.8,16.0,2.1,Africa
Sierra Leone,0.0,5.0,30.1,24.6,14.8,8.1,8.5,5.5,1.9,1.3,Africa
Singapore,1.4,26.1,32.1,15.5,14.2,7.9,1.6,0.4,0.3,0.2,Western Pacific
Slovakia,0.3,0.8,0.1,0.1,0.5,1.2,4.7,35.6,36.2,20.6,Europe
Slovenia,0.8,0.6,0.0,0.1,0.6,0.8,2.9,29.6,42.9,21.6,Europe
Solomon Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3,52.9,0.0,Western Pacific
Somalia,0.1,13.0,30.0,20.7,6.3,2.1,6.1,7.7,11.1,2.8,Eastern Mediterranean
South Africa,0.2,0.5,3.1,13.7,39.5,15.5,5.5,5.9,7.5,8.8,Africa
South Korea,13.6,2.2,1.6,3.0,3.3,13.2,8.4,6.2,18.1,21.9,Western Pacific
South Sudan,0.0,1.1,29.9,31.6,9.8,6.4,5.5,6.3,6.4,3.0,Africa
Spain,5.5,6.7,1.5,0.6,2.2,10.0,17.5,23.8,26.4,5.9,Europe
Sri Lanka,0.4,1.6,2.9,1.2,2.3,0.7,1.0,21.8,39.8,28.3,South-East Asia
Sudan,0.0,2.0,21.2,19.6,11.1,7.2,2.1,0.8,18.6,17.5,Eastern Mediterranean
Suriname,0.1,0.0,0.2,9.2,21.2,44.5,15.7,6.1,2.0,0.9,Americas
Sweden,1.4,5.2,5.1,9.7,3.7,1.2,2.7,9.8,37.1,24.0,Europe
Switzerland,4.3,3.4,0.3,0.2,0.9,1.8,2.9,26.3,44.9,14.9,Europe
Syria,0.1,0.4,0.8,1.7,5.1,21.6,15.4,16.4,23.2,15.2,Eastern Mediterranean
Taiwan,38.1,14.5,1.8,0.7,2.7,2.8,3.5,5.5,16.2,8.8,South-East Asia
Tajikistan,0.0,0.0,30.7,15.5,11.8,9.2,9.3,9.8,9.2,4.3,Europe
Tanzania,3.5,90.6,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Africa
Thailand,37.9,30.7,3.0,2.1,3.3,2.5,3.6,5.1,5.3,5.6,South-East Asia
Togo,1.0,2.5,10.0,6.4,8.9,14.1,11.8,16.7,19.7,8.9,Africa
Trinidad and Tobago,1.2,0.4,0.0,0.2,0.6,23.1,40.3,16.9,14.2,3.1,Americas
Tunisia,0.4,0.5,0.1,0.1,0.3,2.0,13.1,37.2,33.2,13.1,Eastern Mediterranean
