Country/Region,Confirmed,Active,Recovered,Deaths
Grenada,0.0010046401818398728,0.0,0.0015414069101657134,0.0
Guatemala,2.915591387722041,1.2174071893694884,3.7180661431834716,3.209610770623885
Guinea,0.382098149159765,0.13747500681708025,0.516371314905514,0.0695619064355747
Guinea-Bissau,0.08995715628224529,0.14680890640698868,0.06518866724242496,0.04027268267322745
Guyana,0.044371608031261056,0.06747075989276682,0.03358982558402784,0.03783191402636518
Haiti,0.33956838146187707,0.3056185408581454,0.3612030192821655,0.23919532739250246
Holy See,0.0005023200909199364,0.0,0.0007707034550828567,0.0
Honduras,2.3390116433611072,6.007031093219656,0.5859915270146654,2.078314502803223
Hungary,0.21829993951228904,0.11800715910098546,0.2386611699239913,0.7493159745867168
Iceland,0.08694323573672567,0.015200922189279483,0.12543198731473493,0.012203843234311349
India,134.9795618513007,94.25251798609115,157.88753008874457,72.43835228590187
Indonesia,6.607978936044187,5.0848418137367,7.248915572069732,8.369395690090723
Iran,15.210377933078405,3.9207711934524028,20.106240186777413,25.50725274403415
Iraq,8.872103025850647,6.879083997762531,9.875344496416261,8.049654997351766
Ireland,1.1804940736694274,0.4080247535017124,1.500559627046322,2.1686229427371266
Israel,4.456416406611369,2.904042845265946,5.3834920843296015,1.0483101338273448
Italy,10.932745618826957,2.6286928073636466,13.231372691574562,43.25652234401658
Ivory Coast,0.7351454530613271,0.205345790977986,1.0216958802881737,0.1391238128711494
Jamaica,0.07250153312277749,0.11640706202842972,0.05394924185579997,0.023187302145191564
Japan,2.674352164057742,1.6770350734611232,3.217173122667538,1.4876484902625535
Jordan,0.07183177300155091,0.0477362293312461,0.08631878696927996,0.01708538052803589
Kazakhstan,4.398440296117694,1.275010683981495,6.036534811936475,1.8586453245856185
Kenya,1.373133828537223,1.7586400241614657,1.223812861383653,0.6821948367980044
Kosovo,0.5309104760947961,0.4542942271831158,0.5644118302723454,0.5955475498343938
Kuwait,3.4146463980509982,1.020328566599707,4.714264584165988,0.633379463860759
Kyrgyzstan,1.810236027652721,0.7017759077384028,2.3715187565778737,1.2899462298667097
Laos,0.0009209201666865502,0.0001333414227129779,0.0013487310463949993,0.0
Latvia,0.05617613016787956,0.02320140755205816,0.07289570179325353,0.04027268267322745
Lebanon,0.5729379237017642,1.310212819577721,0.2391107469394563,0.16841303663349663
Lesotho,0.04391114794791778,0.07293775822399892,0.030314335899925698,0.03661152970293405
Liberia,0.05420870981177647,0.052269837703487344,0.05272896138525211,0.10007151452135306
Libya,0.4722227454723169,1.328880618757538,0.07141852017101138,0.2477380176565204
Liechtenstein,0.00426972077281946,0.0009333899589908455,0.006037177064815711,0.0012203843234311349
Lithuania,0.11277086041152573,0.1098733323154938,0.11464213894357493,0.10373266749164647
Luxembourg,0.3280987393858718,0.08000485362778675,0.4568986982882869,0.15132765610546073
Madagascar,0.6059236096721734,0.10733984528394723,0.8665275846648253,0.21722840957074202
Malawi,0.2270068210882346,0.2916176914732827,0.1969147327736699,0.20746533498329295
Malaysia,0.38867017034930085,0.025201528892752827,0.576165057962359,0.15254804042889186
Maldives,0.2949874733927327,0.34402087059948305,0.2850960530927334,0.03417076105607178
Mali,0.1135662005554823,0.07293775822399892,0.13108381265200922,0.15254804042889186
Malta,0.07137131291820764,0.08880538752684329,0.06608782127335497,0.012203843234311349
Mauritania,0.29134565273356317,0.06413722432494239,0.4059680449648948,0.1928207231021193
Mauritius,0.014567282636678157,0.00040002426813893376,0.021515471454396418,0.012203843234311349
Mexico,23.802479368248765,5.062307113298207,30.13489044546724,74.99261667484325
Moldova,1.4382261403189314,1.2706104170319665,1.5329933974477257,1.1715689504938895
Monaco,0.006446441166805851,0.00453360837224125,0.0074501333991342815,0.0048815372937245395
Mongolia,0.01255800227299841,0.0014667556498427572,0.018561108209912133,0.0
Montenegro,0.18602587367068313,0.11694042771928163,0.22350400197402845,0.10617343613850874
Morocco,2.282542493140191,2.0374569390543025,2.4593789504573196,1.165467028876734
Mozambique,0.1468449065789281,0.22374690731237695,0.11618354585374065,0.025628070792053835
Namibia,0.25785764667223404,0.44949393596544857,0.17546348660719704,0.0695619064355747
Nepal,1.4036916340681858,1.9001152736599354,1.2279232798107615,0.20014302904270612
Netherlands,2.9169309079644945,8.360107179835577,0.04836164180644926,7.606655487946264
New Zealand,0.07095271284244102,0.01786775064353904,0.09884271811437638,0.02684845511548497
Nicaragua,0.18811887404951622,0.19254501439754013,0.18708826372136347,0.1671926523100655
Niger,0.04910178888742379,0.0026668284542595583,0.0696202121091514,0.08420651831674832
Nigeria,2.2102084000477205,1.5772956892718157,2.566699406577607,1.228927013695153
North Macedonia,0.5776262445503503,0.4021577309023414,0.655740189699664,0.6992802173260403
Norway,0.43760451920641796,0.13867507962149703,0.5876613845006783,0.3221814613858196
Oman,3.5435333613795383,0.6484393386532117,5.083238863286905,0.7834867356427886
Pakistan,12.294744685348787,1.2042063885209036,17.881925790120366,7.633503943061749
Panama,3.699629329632909,3.1605917425657157,4.030714844795417,2.3419175166643478
Papua New Guinea,0.017539343174621115,0.02440148035647496,0.014900266798268563,0.0048815372937245395
Paraguay,0.595584187800738,0.815249458467147,0.5062879447015133,0.2819087787125922
Peru,25.1343392293154,21.074345176940735,26.626327191490457,33.94254918759015
