Country/Region,Confirmed,percentage of active,active cases interval,percentage of recovered,recovered cases interval,percentage of deaths,deaths cases interval,WHO region
Trinidad and Tobago,5241,30.55,high active cases,67.64,few recovered cases,1.81,few deaths cases,Americas
Tunisia,34790,84.06,very high active cases,14.46,very few recovered cases,1.47,few deaths cases,Eastern Mediterranean
Turkey,343955,9.8,few active cases,87.54,high recovered cases,2.66,high deaths cases,Europe
US,8048865,57.56,very high active cases,39.73,very few recovered cases,2.72,high deaths cases,Americas
Uganda,10334,32.29,high active cases,66.78,few recovered cases,0.93,few deaths cases,Africa
Ukraine,295227,55.2,very high active cases,42.92,very few recovered cases,1.88,high deaths cases,Europe
United Arab Emirates,112849,6.6,few active cases,92.99,high recovered cases,0.4,very few deaths cases,Eastern Mediterranean
United Kingdom,692112,93.34,very high active cases,0.37,very few recovered cases,6.29,very high deaths cases,Europe
Uruguay,2450,14.57,few active cases,83.35,high recovered cases,2.08,high deaths cases,Americas
Uzbekistan,62588,3.9,very few active cases,95.26,very high recovered cases,0.83,few deaths cases,Europe
Venezuela,85758,7.86,few active cases,91.3,high recovered cases,0.85,few deaths cases,Americas
Vietnam,1124,5.16,few active cases,91.73,high recovered cases,3.11,high deaths cases,Western Pacific
West Bank and Gaza,46434,13.16,few active cases,85.97,high recovered cases,0.87,few deaths cases,Eastern Mediterranean
Western Sahara,10,10.0,few active cases,80.0,few recovered cases,10.0,very high deaths cases,Africa
Yemen,2055,6.03,few active cases,64.96,few recovered cases,29.0,very high deaths cases,Eastern Mediterranean
Zambia,15659,2.64,very few active cases,95.15,very high recovered cases,2.21,high deaths cases,Africa
Zimbabwe,8099,2.41,very few active cases,94.74,very high recovered cases,2.85,high deaths cases,Africa
