Country/Region,Date,Confirmed,Active,Recovered,Deaths,Latitude,Longitude
Sri Lanka,2020-02-02,0.0,0.0,0.0,0.0,8.0,81.0
Taiwan,2020-02-02,0.0,0.0,0.0,0.0,24.0,121.0
US,2020-02-02,0.0,0.0,0.0,0.0,40.0,-90.0
France,2020-02-02,0.0,0.0,0.0,0.0,47.0,2.0
Spain,2020-02-02,0.0,0.0,0.0,0.0,40.0,-4.0
United Arab Emirates,2020-02-02,1.0,1.0,0.0,0.0,23.0,54.0
Philippines,2020-02-02,1.0,0.0,0.0,1.0,13.0,122.0
Canada,2020-02-02,0.0,0.0,0.0,0.0,60.0,-110.0
Hong Kong,2020-02-02,2.0,2.0,0.0,0.0,0.0,0.0
China,2020-02-02,4737.0,4447.0,188.0,102.0,35.0,103.0
Vietnam,2020-02-02,0.0,0.0,0.0,0.0,14.0,108.0
Thailand,2020-02-02,0.0,0.0,0.0,0.0,16.0,101.0
Germany,2020-02-02,2.0,2.0,0.0,0.0,51.0,9.0
Australia,2020-02-02,0.0,0.0,0.0,0.0,-25.0,133.0
Japan,2020-02-02,0.0,0.0,0.0,0.0,36.0,138.0
Finland,2020-02-02,0.0,0.0,0.0,0.0,62.0,26.0
Cambodia,2020-02-02,0.0,0.0,0.0,0.0,12.0,105.0
India,2020-02-02,1.0,1.0,0.0,0.0,21.0,78.0
Malaysia,2020-02-02,0.0,0.0,0.0,0.0,4.0,102.0
Russia,2020-02-02,0.0,0.0,0.0,0.0,60.0,90.0
Singapore,2020-02-02,2.0,2.0,0.0,0.0,1.0,104.0
Italy,2020-02-02,0.0,0.0,0.0,0.0,43.0,12.0
Sweden,2020-02-02,0.0,0.0,0.0,0.0,63.0,16.0
Hong Kong,2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0
Japan,2020-02-03,0.0,0.0,0.0,0.0,36.0,138.0
US,2020-02-03,3.0,3.0,0.0,0.0,40.0,-90.0
South Korea,2020-02-03,0.0,0.0,0.0,0.0,36.0,128.0
United Kingdom,2020-02-03,0.0,0.0,0.0,0.0,55.0,0.0
Thailand,2020-02-03,0.0,0.0,0.0,0.0,16.0,101.0
India,2020-02-03,1.0,1.0,0.0,0.0,21.0,78.0
Spain,2020-02-03,0.0,0.0,0.0,0.0,40.0,-4.0
Russia,2020-02-03,0.0,0.0,0.0,0.0,60.0,90.0
Singapore,2020-02-03,0.0,0.0,0.0,0.0,1.0,104.0
Taiwan,2020-02-03,0.0,0.0,0.0,0.0,24.0,121.0
Finland,2020-02-03,0.0,0.0,0.0,0.0,62.0,26.0
China,2020-02-03,3086.0,2871.0,151.0,64.0,35.0,103.0
Sri Lanka,2020-02-03,0.0,0.0,0.0,0.0,8.0,81.0
Malaysia,2020-02-03,0.0,0.0,0.0,0.0,4.0,102.0
France,2020-02-03,0.0,0.0,0.0,0.0,47.0,2.0
United Arab Emirates,2020-02-03,0.0,0.0,0.0,0.0,23.0,54.0
Nepal,2020-02-03,0.0,0.0,0.0,0.0,28.0,84.0
Germany,2020-02-03,2.0,2.0,0.0,0.0,51.0,9.0
Vietnam,2020-02-03,2.0,2.0,0.0,0.0,14.0,108.0
Canada,2020-02-03,0.0,0.0,0.0,0.0,60.0,-110.0
Australia,2020-02-03,0.0,0.0,0.0,0.0,-25.0,133.0
Philippines,2020-02-03,0.0,0.0,0.0,0.0,13.0,122.0
Cambodia,2020-02-03,0.0,0.0,0.0,0.0,12.0,105.0
Sweden,2020-02-03,0.0,0.0,0.0,0.0,63.0,16.0
Italy,2020-02-03,0.0,0.0,0.0,0.0,43.0,12.0
Philippines,2020-02-04,0.0,0.0,0.0,0.0,13.0,122.0
Belgium,2020-02-04,0.0,0.0,0.0,0.0,51.0,5.0
South Korea,2020-02-04,1.0,1.0,0.0,0.0,36.0,128.0
US,2020-02-04,0.0,0.0,0.0,0.0,40.0,-90.0
Italy,2020-02-04,0.0,0.0,0.0,0.0,43.0,12.0
Spain,2020-02-04,0.0,0.0,0.0,0.0,40.0,-4.0
Malaysia,2020-02-04,2.0,2.0,0.0,0.0,4.0,102.0
Canada,2020-02-04,0.0,0.0,0.0,0.0,60.0,-110.0
China,2020-02-04,3989.0,3695.0,229.0,65.0,35.0,103.0
India,2020-02-04,0.0,0.0,0.0,0.0,21.0,78.0
Nepal,2020-02-04,0.0,0.0,0.0,0.0,28.0,84.0
Vietnam,2020-02-04,0.0,0.0,0.0,0.0,14.0,108.0
Japan,2020-02-04,2.0,2.0,0.0,0.0,36.0,138.0
Australia,2020-02-04,1.0,1.0,0.0,0.0,-25.0,133.0
Sweden,2020-02-04,0.0,0.0,0.0,0.0,63.0,16.0
Germany,2020-02-04,0.0,0.0,0.0,0.0,51.0,9.0
France,2020-02-04,0.0,0.0,0.0,0.0,47.0,2.0
Cambodia,2020-02-04,0.0,0.0,0.0,0.0,12.0,105.0
United Arab Emirates,2020-02-04,0.0,0.0,0.0,0.0,23.0,54.0
